1211260827830651,INFY 27 Aug 26 FUT ,13,400,0.05,,0915-1540|1815-1915:,2026-08-21,1787825400,BSE:INFY26AUGFUT,12,11,830651,INFY,500209,-1.0,,1210000000500209,None,0,0.0
1211260924848800,INFY 24 Sep 26 FUT ,13,400,0.05,,0915-1540|1815-1915:,2026-08-21,1790244600,BSE:INFY26SEPFUT,12,11,848800,INFY,500209,-1.0,,1210000000500209,None,0,0.0
1211261029876397,INFY 29 Oct 26 FUT ,13,400,0.05,,0915-1540|1815-1915:,2026-08-21,1793268600,BSE:INFY26OCTFUT,12,11,876397,INFY,500209,-1.0,,1210000000500209,None,0,0.0
1211260827823583,ITC 27 Aug 26 FUT ,13,1725,0.05,,0915-1540|1815-1915:,2026-08-21,1787825400,BSE:ITC26AUGFUT,12,11,823583,ITC,500875,-1.0,,1210000000500875,None,0,0.0
1211260924842615,ITC 24 Sep 26 FUT ,13,1725,0.05,,0915-1540|1815-1915:,2026-08-21,1790244600,BSE:ITC26SEPFUT,12,11,842615,ITC,500875,-1.0,,1210000000500875,None,0,0.0
1211261029862623,ITC 29 Oct 26 FUT ,13,1725,0.05,,0915-1540|1815-1915:,2026-08-21,1793268600,BSE:ITC26OCTFUT,12,11,862623,ITC,500875,-1.0,,1210000000500875,None,0,0.0
1211260827826998,JIOFIN 27 Aug 26 FUT ,13,2350,0.05,,0915-1540|1815-1915:,2026-08-21,1787825400,BSE:JIOFIN26AUGFUT,12,11,826998,JIOFIN,543940,-1.0,,1210000000543940,None,0,0.0
1211260924845888,JIOFIN 24 Sep 26 FUT ,13,2350,0.05,,0915-1540|1815-1915:,2026-08-21,1790244600,BSE:JIOFIN26SEPFUT,12,11,845888,JIOFIN,543940,-1.0,,1210000000543940,None,0,0.0
1211261029866025,JIOFIN 29 Oct 26 FUT ,13,2350,0.05,,0915-1540|1815-1915:,2026-08-21,1793268600,BSE:JIOFIN26OCTFUT,12,11,866025,JIOFIN,543940,-1.0,,1210000000543940,None,0,0.0
1211260827830205,JSWSTEEL 27 Aug 26 FUT ,13,675,0.05,,0915-1540|1815-1915:,2026-08-21,1787825400,BSE:JSWSTEEL26AUGFUT,12,11,830205,JSWSTEEL,500228,-1.0,,1210000000500228,None,0,0.0
1211260924848315,JSWSTEEL 24 Sep 26 FUT ,13,675,0.05,,0915-1540|1815-1915:,2026-08-21,1790244600,BSE:JSWSTEEL26SEPFUT,12,11,848315,JSWSTEEL,500228,-1.0,,1210000000500228,None,0,0.0
1211261029871171,JSWSTEEL 29 Oct 26 FUT ,13,675,0.05,,0915-1540|1815-1915:,2026-08-21,1793268600,BSE:JSWSTEEL26OCTFUT,12,11,871171,JSWSTEEL,500228,-1.0,,1210000000500228,None,0,0.0
1211260827827899,RELIANCE 27 Aug 26 FUT ,13,500,0.05,,0915-1540|1815-1915:,2026-08-21,1787825400,BSE:RELIANCE26AUGFUT,12,11,827899,RELIANCE,500325,-1.0,,1210000000500325,None,0,0.0
1211260924846681,RELIANCE 24 Sep 26 FUT ,13,500,0.05,,0915-1540|1815-1915:,2026-08-21,1790244600,BSE:RELIANCE26SEPFUT,12,11,846681,RELIANCE,500325,-1.0,,1210000000500325,None,0,0.0
1211261029866957,RELIANCE 29 Oct 26 FUT ,13,500,0.05,,0915-1540|1815-1915:,2026-08-21,1793268600,BSE:RELIANCE26OCTFUT,12,11,866957,RELIANCE,500325,-1.0,,1210000000500325,None,0,0.0
1211260827828985,SBIN 27 Aug 26 FUT ,13,750,0.05,,0915-1540|1815-1915:,2026-08-21,1787825400,BSE:SBIN26AUGFUT,12,11,828985,SBIN,500112,-1.0,,1210000000500112,None,0,0.0
1211260924847700,SBIN 24 Sep 26 FUT ,13,750,0.05,,0915-1540|1815-1915:,2026-08-21,1790244600,BSE:SBIN26SEPFUT,12,11,847700,SBIN,500112,-1.0,,1210000000500112,None,0,0.0
1211261029868216,SBIN 29 Oct 26 FUT ,13,750,0.05,,0915-1540|1815-1915:,2026-08-21,1793268600,BSE:SBIN26OCTFUT,12,11,868216,SBIN,500112,-1.0,,1210000000500112,None,0,0.0
1211260827826528,TATASTEEL 27 Aug 26 FUT ,13,2750,0.05,,0915-1540|1815-1915:,2026-08-21,1787825400,BSE:TATASTEEL26AUGFUT,12,11,826528,TATASTEEL,500470,-1.0,,1210000000500470,None,0,0.0
1211260924845436,TATASTEEL 24 Sep 26 FUT ,13,2750,0.05,,0915-1540|1815-1915:,2026-08-21,1790244600,BSE:TATASTEEL26SEPFUT,12,11,845436,TATASTEEL,500470,-1.0,,1210000000500470,None,0,0.0
1211261029865539,TATASTEEL 29 Oct 26 FUT ,13,2750,0.05,,0915-1540|1815-1915:,2026-08-21,1793268600,BSE:TATASTEEL26OCTFUT,12,11,865539,TATASTEEL,500470,-1.0,,1210000000500470,None,0,0.0
