101126102748707,ABB 27 Oct 26 FUT,13,125,0.5,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ABB26OCTFUT,10,11,48707,ABB,13,-1.0,XX,101000000013,None,0,0.0
101126082558086,ABCAPITAL 25 Aug 26 FUT,13,3100,0.05,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ABCAPITAL26AUGFUT,10,11,58086,ABCAPITAL,21614,-1.0,XX,101000000021614,None,0,0.0
101126092968415,ABCAPITAL 29 Sep 26 FUT,13,3100,0.05,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ABCAPITAL26SEPFUT,10,11,68415,ABCAPITAL,21614,-1.0,XX,101000000021614,None,0,0.0
101126102748708,ABCAPITAL 27 Oct 26 FUT,13,3100,0.05,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ABCAPITAL26OCTFUT,10,11,48708,ABCAPITAL,21614,-1.0,XX,101000000021614,None,0,0.0
101126082558087,ADANIENSOL 25 Aug 26 FUT,13,675,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ADANIENSOL26AUGFUT,10,11,58087,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126092968416,ADANIENSOL 29 Sep 26 FUT,13,675,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ADANIENSOL26SEPFUT,10,11,68416,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126102748710,ADANIENSOL 27 Oct 26 FUT,13,675,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ADANIENSOL26OCTFUT,10,11,48710,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126082558088,ADANIENT 25 Aug 26 FUT,13,309,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ADANIENT26AUGFUT,10,11,58088,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126092968417,ADANIENT 29 Sep 26 FUT,13,309,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ADANIENT26SEPFUT,10,11,68417,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126102748711,ADANIENT 27 Oct 26 FUT,13,309,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ADANIENT26OCTFUT,10,11,48711,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126082558089,ADANIGREEN 25 Aug 26 FUT,13,600,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ADANIGREEN26AUGFUT,10,11,58089,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126092968418,ADANIGREEN 29 Sep 26 FUT,13,600,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ADANIGREEN26SEPFUT,10,11,68418,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126102748712,ADANIGREEN 27 Oct 26 FUT,13,600,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ADANIGREEN26OCTFUT,10,11,48712,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126082558090,ADANIPORTS 25 Aug 26 FUT,13,475,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ADANIPORTS26AUGFUT,10,11,58090,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126092968419,ADANIPORTS 29 Sep 26 FUT,13,475,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ADANIPORTS26SEPFUT,10,11,68419,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126102748718,ADANIPORTS 27 Oct 26 FUT,13,475,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ADANIPORTS26OCTFUT,10,11,48718,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126082558091,ADANIPOWER 25 Aug 26 FUT,13,3550,0.01,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ADANIPOWER26AUGFUT,10,11,58091,ADANIPOWER,17388,-1.0,XX,101000000017388,None,0,0.0
101126092968420,ADANIPOWER 29 Sep 26 FUT,13,3550,0.01,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ADANIPOWER26SEPFUT,10,11,68420,ADANIPOWER,17388,-1.0,XX,101000000017388,None,0,0.0
101126102748720,ADANIPOWER 27 Oct 26 FUT,13,3550,0.01,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ADANIPOWER26OCTFUT,10,11,48720,ADANIPOWER,17388,-1.0,XX,101000000017388,None,0,0.0
101126082558100,ALKEM 25 Aug 26 FUT,13,125,0.5,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ALKEM26AUGFUT,10,11,58100,ALKEM,11703,-1.0,XX,101000000011703,None,0,0.0
101126092968421,ALKEM 29 Sep 26 FUT,13,125,0.5,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ALKEM26SEPFUT,10,11,68421,ALKEM,11703,-1.0,XX,101000000011703,None,0,0.0
101126102748722,ALKEM 27 Oct 26 FUT,13,125,0.5,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ALKEM26OCTFUT,10,11,48722,ALKEM,11703,-1.0,XX,101000000011703,None,0,0.0
101126082558101,AMBER 25 Aug 26 FUT,13,100,0.5,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:AMBER26AUGFUT,10,11,58101,AMBER,1185,-1.0,XX,10100000001185,None,0,0.0
101126092968422,AMBER 29 Sep 26 FUT,13,100,0.5,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:AMBER26SEPFUT,10,11,68422,AMBER,1185,-1.0,XX,10100000001185,None,0,0.0
101126102748723,AMBER 27 Oct 26 FUT,13,100,0.5,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:AMBER26OCTFUT,10,11,48723,AMBER,1185,-1.0,XX,10100000001185,None,0,0.0
101126082558102,AMBUJACEM 25 Aug 26 FUT,13,1200,0.05,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:AMBUJACEM26AUGFUT,10,11,58102,AMBUJACEM,1270,-1.0,XX,10100000001270,None,0,0.0
101126092968423,AMBUJACEM 29 Sep 26 FUT,13,1200,0.05,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:AMBUJACEM26SEPFUT,10,11,68423,AMBUJACEM,1270,-1.0,XX,10100000001270,None,0,0.0
101126102748725,AMBUJACEM 27 Oct 26 FUT,13,1200,0.05,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:AMBUJACEM26OCTFUT,10,11,48725,AMBUJACEM,1270,-1.0,XX,10100000001270,None,0,0.0
101126082558103,ANGELONE 25 Aug 26 FUT,13,2500,0.05,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ANGELONE26AUGFUT,10,11,58103,ANGELONE,324,-1.0,XX,1010000000324,None,0,0.0
101126092968424,ANGELONE 29 Sep 26 FUT,13,2500,0.05,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ANGELONE26SEPFUT,10,11,68424,ANGELONE,324,-1.0,XX,1010000000324,None,0,0.0
101126102748726,ANGELONE 27 Oct 26 FUT,13,2500,0.05,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ANGELONE26OCTFUT,10,11,48726,ANGELONE,324,-1.0,XX,1010000000324,None,0,0.0
101126082558104,APLAPOLLO 25 Aug 26 FUT,13,350,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:APLAPOLLO26AUGFUT,10,11,58104,APLAPOLLO,25780,-1.0,XX,101000000025780,None,0,0.0
101126092968425,APLAPOLLO 29 Sep 26 FUT,13,350,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:APLAPOLLO26SEPFUT,10,11,68425,APLAPOLLO,25780,-1.0,XX,101000000025780,None,0,0.0
101126102748727,APLAPOLLO 27 Oct 26 FUT,13,350,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:APLAPOLLO26OCTFUT,10,11,48727,APLAPOLLO,25780,-1.0,XX,101000000025780,None,0,0.0
101126082558105,APOLLOHOSP 25 Aug 26 FUT,13,125,0.5,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:APOLLOHOSP26AUGFUT,10,11,58105,APOLLOHOSP,157,-1.0,XX,1010000000157,None,0,0.0
101126092968426,APOLLOHOSP 29 Sep 26 FUT,13,125,0.5,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:APOLLOHOSP26SEPFUT,10,11,68426,APOLLOHOSP,157,-1.0,XX,1010000000157,None,0,0.0
101126102748730,APOLLOHOSP 27 Oct 26 FUT,13,125,0.5,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:APOLLOHOSP26OCTFUT,10,11,48730,APOLLOHOSP,157,-1.0,XX,1010000000157,None,0,0.0
101126082558106,ASHOKLEY 25 Aug 26 FUT,13,5000,0.01,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ASHOKLEY26AUGFUT,10,11,58106,ASHOKLEY,212,-1.0,XX,1010000000212,None,0,0.0
101126092968427,ASHOKLEY 29 Sep 26 FUT,13,5000,0.01,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ASHOKLEY26SEPFUT,10,11,68427,ASHOKLEY,212,-1.0,XX,1010000000212,None,0,0.0
101126102748731,ASHOKLEY 27 Oct 26 FUT,13,5000,0.01,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ASHOKLEY26OCTFUT,10,11,48731,ASHOKLEY,212,-1.0,XX,1010000000212,None,0,0.0
101126082558107,ASIANPAINT 25 Aug 26 FUT,13,250,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ASIANPAINT26AUGFUT,10,11,58107,ASIANPAINT,236,-1.0,XX,1010000000236,None,0,0.0
101126092968428,ASIANPAINT 29 Sep 26 FUT,13,250,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ASIANPAINT26SEPFUT,10,11,68428,ASIANPAINT,236,-1.0,XX,1010000000236,None,0,0.0
101126102748732,ASIANPAINT 27 Oct 26 FUT,13,250,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ASIANPAINT26OCTFUT,10,11,48732,ASIANPAINT,236,-1.0,XX,1010000000236,None,0,0.0
101126082558108,ASTRAL 25 Aug 26 FUT,13,425,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:ASTRAL26AUGFUT,10,11,58108,ASTRAL,14418,-1.0,XX,101000000014418,None,0,0.0
101126092968429,ASTRAL 29 Sep 26 FUT,13,425,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:ASTRAL26SEPFUT,10,11,68429,ASTRAL,14418,-1.0,XX,101000000014418,None,0,0.0
101126102748733,ASTRAL 27 Oct 26 FUT,13,425,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:ASTRAL26OCTFUT,10,11,48733,ASTRAL,14418,-1.0,XX,101000000014418,None,0,0.0
101126082558109,AUBANK 25 Aug 26 FUT,13,1000,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:AUBANK26AUGFUT,10,11,58109,AUBANK,21238,-1.0,XX,101000000021238,None,0,0.0
101126092968432,AUBANK 29 Sep 26 FUT,13,1000,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:AUBANK26SEPFUT,10,11,68432,AUBANK,21238,-1.0,XX,101000000021238,None,0,0.0
101126102748734,AUBANK 27 Oct 26 FUT,13,1000,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:AUBANK26OCTFUT,10,11,48734,AUBANK,21238,-1.0,XX,101000000021238,None,0,0.0
101126082558116,AUROPHARMA 25 Aug 26 FUT,13,550,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:AUROPHARMA26AUGFUT,10,11,58116,AUROPHARMA,275,-1.0,XX,1010000000275,None,0,0.0
101126092968433,AUROPHARMA 29 Sep 26 FUT,13,550,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:AUROPHARMA26SEPFUT,10,11,68433,AUROPHARMA,275,-1.0,XX,1010000000275,None,0,0.0
101126102748735,AUROPHARMA 27 Oct 26 FUT,13,550,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:AUROPHARMA26OCTFUT,10,11,48735,AUROPHARMA,275,-1.0,XX,1010000000275,None,0,0.0
101126082558117,AXISBANK 25 Aug 26 FUT,13,625,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:AXISBANK26AUGFUT,10,11,58117,AXISBANK,5900,-1.0,XX,10100000005900,None,0,0.0
